"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1744","WebSteps. Проверка наличия таба ""Projects"" в репозитории.","","Wed May 13 16:34:42 UTC 2026","passed","Wed May 13 16:34:44 UTC 2026","","Определение табов в репозитории с использованием WebSteps","GitHubSearchRepoWebSteps","specialRepoCanBeFoundOnGitHUB"
"","1866","WebSteps. Проверка наличия таба ""Code"" в репозитории.","","Wed May 13 16:34:35 UTC 2026","passed","Wed May 13 16:34:37 UTC 2026","","Определение табов в репозитории с использованием WebSteps","GitHubSearchRepoWebSteps","specialRepoCanBeFoundOnGitHUB"
"","1926","WebSteps. Проверка наличия таба ""Insights"" в репозитории.","","Wed May 13 16:34:46 UTC 2026","passed","Wed May 13 16:34:48 UTC 2026","","Определение табов в репозитории с использованием WebSteps","GitHubSearchRepoWebSteps","specialRepoCanBeFoundOnGitHUB"
"","1829","Проверка наличия в репозитории ""VMaft/AllureReportPtactise"". Таба ""Pull requests""","","Wed May 13 16:34:24 UTC 2026","passed","Wed May 13 16:34:26 UTC 2026","","Определение табов в репозитории","GitHubSearchRepoTests","specialRepoCanBeFoundOnGitHUB"
"","1809","Проверка наличия в репозитории ""VMaft/AllureReportPtactise"". Таба ""Issues""","","Wed May 13 16:34:26 UTC 2026","passed","Wed May 13 16:34:27 UTC 2026","","Определение табов в репозитории","GitHubSearchRepoTests","specialRepoCanBeFoundOnGitHUB"
"","1499","LambdaSteps. В репозитории отсутствуют Issues","","Wed May 13 16:34:20 UTC 2026","passed","Wed May 13 16:34:22 UTC 2026","","Определение табов в репозитории с использованием LambdaSteps","GitHubSearchRepoLambdaStepTests","checkThatIssueTabCotainsNoIssue"
"","2010","Проверка наличия в репозитории ""VMaft/AllureReportPtactise"". Таба ""Actions""","","Wed May 13 16:34:27 UTC 2026","passed","Wed May 13 16:34:29 UTC 2026","","Определение табов в репозитории","GitHubSearchRepoTests","specialRepoCanBeFoundOnGitHUB"
"","2980","LambdaSteps. Проверка наличия таба ""Code"" в репозитории.","","Wed May 13 16:34:03 UTC 2026","passed","Wed May 13 16:34:06 UTC 2026","","Определение табов в репозитории с использованием LambdaSteps","GitHubSearchRepoLambdaStepTests","specialRepoCanBeFoundOnGitHUB"
"","1956","LambdaSteps. Проверка наличия таба ""Security and quality"" в репозитории.","","Wed May 13 16:34:14 UTC 2026","passed","Wed May 13 16:34:16 UTC 2026","","Определение табов в репозитории с использованием LambdaSteps","GitHubSearchRepoLambdaStepTests","specialRepoCanBeFoundOnGitHUB"
"","1727","WebSteps. Проверка наличия таба ""Issues"" в репозитории.","","Wed May 13 16:34:39 UTC 2026","passed","Wed May 13 16:34:40 UTC 2026","","Определение табов в репозитории с использованием WebSteps","GitHubSearchRepoWebSteps","specialRepoCanBeFoundOnGitHUB"
"","1782","Проверка наличия в репозитории ""VMaft/AllureReportPtactise"". Таба ""Insights""","","Wed May 13 16:34:33 UTC 2026","passed","Wed May 13 16:34:35 UTC 2026","","Определение табов в репозитории","GitHubSearchRepoTests","specialRepoCanBeFoundOnGitHUB"
"","1978","LambdaSteps. Проверка наличия таба ""Insights"" в репозитории.","","Wed May 13 16:34:16 UTC 2026","passed","Wed May 13 16:34:18 UTC 2026","","Определение табов в репозитории с использованием LambdaSteps","GitHubSearchRepoLambdaStepTests","specialRepoCanBeFoundOnGitHUB"
"","1886","WebSteps. Проверка наличия таба ""Actions"" в репозитории.","","Wed May 13 16:34:40 UTC 2026","passed","Wed May 13 16:34:42 UTC 2026","","Определение табов в репозитории с использованием WebSteps","GitHubSearchRepoWebSteps","specialRepoCanBeFoundOnGitHUB"
"","1934","Проверка наличия в репозитории ""VMaft/AllureReportPtactise"". Таба ""Projects""","","Wed May 13 16:34:29 UTC 2026","passed","Wed May 13 16:34:31 UTC 2026","","Определение табов в репозитории","GitHubSearchRepoTests","specialRepoCanBeFoundOnGitHUB"
"","1864","Проверка наличия в репозитории ""VMaft/AllureReportPtactise"". Таба ""Security and quality""","","Wed May 13 16:34:31 UTC 2026","passed","Wed May 13 16:34:33 UTC 2026","","Определение табов в репозитории","GitHubSearchRepoTests","specialRepoCanBeFoundOnGitHUB"
"","1744","WebSteps. Проверка наличия таба ""Security and quality"" в репозитории.","","Wed May 13 16:34:44 UTC 2026","passed","Wed May 13 16:34:46 UTC 2026","","Определение табов в репозитории с использованием WebSteps","GitHubSearchRepoWebSteps","specialRepoCanBeFoundOnGitHUB"
"","1939","LambdaSteps. Проверка наличия таба ""Pull requests"" в репозитории.","","Wed May 13 16:34:06 UTC 2026","passed","Wed May 13 16:34:08 UTC 2026","","Определение табов в репозитории с использованием LambdaSteps","GitHubSearchRepoLambdaStepTests","specialRepoCanBeFoundOnGitHUB"
"","2289","Actions содержит сведения о запусках.","","Wed May 13 16:34:18 UTC 2026","passed","Wed May 13 16:34:20 UTC 2026","","Определение табов в репозитории с использованием LambdaSteps","GitHubSearchRepoLambdaStepTests","checkThatActionsTabCotainsSomeData"
"","1970","Проверка наличия в репозитории ""VMaft/AllureReportPtactise"". Таба ""Code""","","Wed May 13 16:34:22 UTC 2026","passed","Wed May 13 16:34:24 UTC 2026","","Определение табов в репозитории","GitHubSearchRepoTests","specialRepoCanBeFoundOnGitHUB"
"","5460","Делаем скриншот с WebStepsAttachments","","Wed May 13 16:33:57 UTC 2026","passed","Wed May 13 16:34:02 UTC 2026","","Практика по аттачментам","GitHubSearchRepoAttachmentsSteps","testAnnotatedAttachment"
"","935","Делаем скриншот с LambdaStepsAttachments","","Wed May 13 16:34:02 UTC 2026","passed","Wed May 13 16:34:03 UTC 2026","","Практика по аттачментам","GitHubSearchRepoAttachmentsSteps","testLambdaAttchments"
"","1992","LambdaSteps. Проверка наличия таба ""Actions"" в репозитории.","","Wed May 13 16:34:10 UTC 2026","passed","Wed May 13 16:34:12 UTC 2026","","Определение табов в репозитории с использованием LambdaSteps","GitHubSearchRepoLambdaStepTests","specialRepoCanBeFoundOnGitHUB"
